application_id,customer_id,related_parties_id,document_id,document_url,db_status,s3_status
1,1,,2,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1/LOAN_PAID_NOC.png,,
1,1,,5,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1/CUSTOMER_VOTER.png,,
1,1,1,7,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/1/CUSTOMER_WITH_GUARANTOR_PHOTO.png,,
1,1,,9,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1/AGREEMENT_SIGNED_LAST_PAGE.pdf,,
1,1,,10,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1/CHEQUE_PHOTO.png,,
1,1,,6,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1/CUSTOMER_GAS.pdf,,
2,2,,14,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/2/AFFIDAVIT_FOR_2NDHAND_VEHICLE.jpg,,
4,4,3,26,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/3/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
4,4,4,27,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/4/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
4,4,,37,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
4,4,,38,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/CUSTOMER_SIGNING_AGREEMENT_PHOTO.jpg,,
4,4,,39,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/AGREEMENT_SIGNED_1ST_PAGE.jpg,,
4,4,,40,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/AGREEMENT_SIGNED_LAST_PAGE.jpg,,
4,4,,41,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/CUSTOMER_AADHAAR_CARRYING_PHOTO.jpg,,
4,4,,42,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/4/CHEQUE_PHOTO.jpg,,
5,5,,50,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/5/VEHICLE_PURCHASE_RECEIPT.jpg,,
6,6,,64,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/6/CHEQUE_PHOTO.jpg,,
7,7,,67,https://temp-prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/vehicle/4/VEHICLE_PURCHASE_RECEIPT.pdf,,
7,7,,73,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/7/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
9,9,11,87,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/11/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
9,9,,92,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/9/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
10,18,13,101,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/13/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
11,19,,107,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/19/VEHICLE_PURCHASE_RECEIPT.jpg,,
12,20,17,125,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/17/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
13,21,19,140,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/19/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
13,21,18,136,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/18/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
13,21,,145,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/21/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
15,23,23,170,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/23/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
12,20,,118,https://temp-prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/vehicle/8/VEHICLE_PURCHASE_RECEIPT.jpg,,
